"","waldStat","df","pvalue","padj"
"Vps18",0.00540219045815182,4,0.99999635860462,1
"Chp1",0,2,1,1
"X1700020I14Rik",0,4,1,1
"Nusap1",0,4,1,1
"Rtf1",1.68373541806974,4,0.793669943074826,1
"Mga",0.166505869326491,4,0.996720943984798,1
"Snap23",0,4,1,1
"Haus2",4.20414066121103,4,0.379082813139058,1
"Ccndbp1",0,2,1,1
"Pdia3",0,4,1,1
"Hypk",0.200596393097462,4,0.995294141700985,1
"Wdr76",3.89449758221777,3,0.273084157327893,1
"Casc4",NA,NA,NA,NA
"Ctdspl2",0.155333697381263,4,0.997135640418541,1
"Eif3j1",0.763967710022887,2,0.682506072169164,1
"B2m",0,4,1,1
"Sord",0.469418814623714,3,0.925556724752926,1
"Slc28a2",9.64900713701469,4,0.0467739059382494,0.977202568948539
"Gm14085",5.79165640898606,2,0.0552532451538409,1
"AA467197",52.7576203438242,5,3.77162634457306e-10,1.20593652773871e-07
"Bloc1s6",0.26369232313846,4,0.992035792997723,1
"Sqor",2.48154918007643,4,0.647942717911592,1
"Slc24a5",5.55500876532433,2,0.0621935251039902,1
"Dut",0.270725906456452,2,0.873398851219876,1
"Eid1",5.0303292574585,4,0.28419965748509,1
"Galk2",0.632558065940201,4,0.959377932618597,1
"Dtwd1",2.14152478313501,2,0.342747110277406,1
"Usp8",1.9465001147704,4,0.745598446852321,1
"Blvra",0.457233998240608,4,0.977528478729548,1
"Snrnp200",0,4,1,1
"Tmem127",7.19731098121737e-05,2,0.999964014092602,1
"Stard7",0,4,1,1
"Dusp2",3.56035877674399,2,0.168607898259142,1
"Mrps5",0.0984913985631271,3,0.99201784521919,1
"Bcl2l11",0.269559369921464,2,0.873908425649509,1
"Tmem87b",1.74054334081014,4,0.783340374523558,1
"Zc3h6",0.000121892583815572,2,0.99993905556528,1
"Polr1b",0.00229797370241979,2,0.998851672981445,1
"Chchd5",1.56110434107999,4,0.815765252494951,1
"Slc20a1",0.597554443836981,4,0.963335055705661,1
"Sirpa",0.00242398425119421,4,0.999999266130716,1
"Stk35",1.4369269838225,4,0.837752206113381,1
"Nop56",0.361194965473023,2,0.83477130093967,1
"Vps16",0,3,1,1
"Ptpra",1.49680929665617,4,0.827206509693872,1
"Mrps26",0,4,1,1
"Itpa",3.72233496786729,4,0.44488576784922,1
"Atrn",9.6254198669225,4,0.0472329731965208,0.983997974184741
"Cdc25b",0,2,1,1
"Pank2",0,4,1,1
"Cds2",0,2,1,1
"X1110034G24Rik",0.903957530937949,4,0.923992362094631,1
"Crls1",1.80850882844828,4,0.770925247119768,1
"Plcb4",2.82162270816647,2,0.243945276841233,1
"Ndufaf5",4.1120738300891,4,0.391050737384741,1
"Snrpb2",0.372253539930138,4,0.984684901020115,1
"Dstn",0,4,1,1
"Mgme1",1.53870547461025,4,0.819763870714054,1
"Kat14",0.0146766794331014,4,0.999973205749522,1
"Polr3f",1.68484528684523,4,0.793468621836822,1
"Sec23b",0.709850166910341,4,0.950108662247942,1
"Smim26",2.21795710464049,2,0.329895760293429,1
"Dtd1",0.987875899933578,4,0.911628793041561,1
"Naa20",2.54407374646647,3,0.467378599440825,1
"Kiz",2.72274539546697,4,0.605240368706916,1
"Xrn2",0.631806610907516,4,0.959464510848114,1
"Nxt1",0,4,1,1
"Gzf1",0.069471379634488,4,0.999410505949746,1
"Cst7",222.464558220259,3,0,0
"Entpd6",9.06916651328762,4,0.0593937079077167,1
"Pygb",0.485663215173368,4,0.974881575085174,1
"Gins1",0.446507238180791,4,0.978495188555493,1
"Nsfl1c",0.243208667285114,4,0.993179135868392,1
"Fkbp1a",4.47680595935519,3,0.214368496764806,1
"Csnk2a1",0,4,1,1
"Tbc1d20",0.0140199185725224,4,0.999975544756162,1
"H13",1.64084139760301,4,0.801433667155046,1
"Id1",13.9181288224853,4,0.00756099143971034,0.327049005565388
"Tpx2",10.2756202976406,3,0.0163628624362067,0.55082333666202
"Hck",3.46247656511282,3,0.325661492902048,1
"Tm9sf4",0.0194376696298218,4,0.999953077012513,1
"Pofut1",0.0568068648300339,4,0.999604179972862,1
"Kif3b",0.0952379317157563,2,0.953497032792506,1
"Asxl1",0,2,1,1
"Dnmt3b",0.416819908360463,2,0.811874137283444,1
"Mapre1",0,4,1,1
"Cbfa2t2",0.722025932410712,4,0.948585154456587,1
"Chmp4b",0,4,1,1
"Raly",0.917090575524637,4,0.92209619582455,1
"Itch",0,4,1,1
"Dynlrb1",1.3346992896153,4,0.855461390062969,1
"Map1lc3a",3.39330925220326,4,0.494285176154935,1
"Trp53inp2",3.97942833353296,4,0.408797081080293,1
"Cep250",0.337982937329748,4,0.987232125641986,1
"Ergic3",0.245966224887895,4,0.993029929710635,1
"Romo1",1.42321581701417,4,0.840150125380289,1
"Phf20",3.54687908426438,4,0.470786169670411,1
"Aar2",1.30930946246436,4,0.859794075259253,1
"Dlgap4",0,2,1,1
"X1110008F13Rik",0,4,1,1
"Rpn2",0.00879266914997684,4,0.999990364398275,1
"Manbal",0,4,1,1
"Ctnnbl1",8.19195983131542e-05,4,0.99999999916117,1
"Lbp",1.67110836134554,4,0.795958890999322,1
"Ralgapb",0,4,1,1
"Actr5",0.276520091502046,4,0.991279025301692,1
"Fam83d",1.48913032294182,4,0.82856513435165,1
"Top1",0,4,1,1
"Srsf6",9.45347289178282,4,0.0507121053231624,1
"Ift52",0.0982177238517173,4,0.998832920531178,1
"Mybl2",2.21083364084397,2,0.331072855550449,1
"X2900093K20Rik",1.48377006341751,4,0.829512455885641,1
"Ttpal",0.135563058938598,4,0.997804044367551,1
"Pkig",3.09170289795449,3,0.377701362459923,1
"Ywhab",0,4,1,1
"Pabpc1l",3.55256250997318,3,0.314008653607352,1
